VARIACAO,HUMOR,COGNICAO,COMPORTAMENTO,PERCEPCAO,FISIOLOGICO,RISCO,DURACAO,RESULTADO
1,humor deprimido,ruminacao,suicida,nao especificado,alteracoes de peso significativas,evento traumatico,> 2 semanas,transtorno depressivo maior
2,disforia,recordacao intrusiva,tentativa de suicidio,nao especificado,alteracoes no apetite,perda significativa,> 2 semanas,transtorno depressivo maior
3,anedonia,perda de interesse,retraimento social,nao especificado,insonia,neuroticismo,> 2 semanas,transtorno depressivo maior
4,tristeza,dificuldade para pensar,choro,nao especificado,hipersonia,herdabilidade,> 2 semanas,transtorno depressivo maior
5,culpa delirante,dificuldade de concentracao,suicida,nao especificado,perturbacoes do sono,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
6,sentimentos de inutilidade,indecisao,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
7,desesperanca,pensamentos recorrentes de morte,retraimento social,nao especificado,fadiga persistente,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
8,angustia generalizada,ideacao suicida,choro,nao especificado,perda de energia,evento traumatico,> 2 semanas,transtorno depressivo maior
9,autoaversao,plano suicida,suicida,nao especificado,sintomas somaticos,perda significativa,> 2 semanas,transtorno depressivo maior
10,sentimentos de desvalia,problemas de memoria,tentativa de suicidio,nao especificado,catatonia,neuroticismo,> 2 semanas,transtorno depressivo maior
11,sofrimento intenso,preocupacao,retraimento social,nao especificado,alteracoes de peso significativas,herdabilidade,> 2 semanas,transtorno depressivo maior
12,melancolia,ruminacao,choro,nao especificado,alteracoes no apetite,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
13,humor deprimido,recordacao intrusiva,suicida,nao especificado,insonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
14,disforia,perda de interesse,tentativa de suicidio,nao especificado,hipersonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
15,anedonia,dificuldade para pensar,retraimento social,nao especificado,perturbacoes do sono,evento traumatico,> 2 semanas,transtorno depressivo maior
16,tristeza,dificuldade de concentracao,choro,nao especificado,perturbacoes psicomotoras,perda significativa,> 2 semanas,transtorno depressivo maior
17,culpa delirante,indecisao,suicida,nao especificado,fadiga persistente,neuroticismo,> 2 semanas,transtorno depressivo maior
18,sentimentos de inutilidade,pensamentos recorrentes de morte,tentativa de suicidio,nao especificado,perda de energia,herdabilidade,> 2 semanas,transtorno depressivo maior
19,desesperanca,ideacao suicida,retraimento social,nao especificado,sintomas somaticos,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
20,angustia generalizada,plano suicida,choro,nao especificado,catatonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
21,autoaversao,problemas de memoria,suicida,nao especificado,alteracoes de peso significativas,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
22,sentimentos de desvalia,preocupacao,tentativa de suicidio,nao especificado,alteracoes no apetite,evento traumatico,> 2 semanas,transtorno depressivo maior
23,sofrimento intenso,ruminacao,retraimento social,nao especificado,insonia,perda significativa,> 2 semanas,transtorno depressivo maior
24,melancolia,recordacao intrusiva,choro,nao especificado,hipersonia,neuroticismo,> 2 semanas,transtorno depressivo maior
25,humor deprimido,perda de interesse,suicida,nao especificado,perturbacoes do sono,herdabilidade,> 2 semanas,transtorno depressivo maior
26,disforia,dificuldade para pensar,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
27,anedonia,dificuldade de concentracao,retraimento social,nao especificado,fadiga persistente,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
28,tristeza,indecisao,choro,nao especificado,perda de energia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
29,culpa delirante,pensamentos recorrentes de morte,suicida,nao especificado,sintomas somaticos,evento traumatico,> 2 semanas,transtorno depressivo maior
30,sentimentos de inutilidade,ideacao suicida,tentativa de suicidio,nao especificado,catatonia,perda significativa,> 2 semanas,transtorno depressivo maior
31,desesperanca,plano suicida,retraimento social,nao especificado,alteracoes de peso significativas,neuroticismo,> 2 semanas,transtorno depressivo maior
32,angustia generalizada,problemas de memoria,choro,nao especificado,alteracoes no apetite,herdabilidade,> 2 semanas,transtorno depressivo maior
33,autoaversao,preocupacao,suicida,nao especificado,insonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
34,sentimentos de desvalia,ruminacao,tentativa de suicidio,nao especificado,hipersonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
35,sofrimento intenso,recordacao intrusiva,retraimento social,nao especificado,perturbacoes do sono,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
36,melancolia,perda de interesse,choro,nao especificado,perturbacoes psicomotoras,evento traumatico,> 2 semanas,transtorno depressivo maior
37,humor deprimido,dificuldade para pensar,suicida,nao especificado,fadiga persistente,perda significativa,> 2 semanas,transtorno depressivo maior
38,disforia,dificuldade de concentracao,tentativa de suicidio,nao especificado,perda de energia,neuroticismo,> 2 semanas,transtorno depressivo maior
39,anedonia,indecisao,retraimento social,nao especificado,sintomas somaticos,herdabilidade,> 2 semanas,transtorno depressivo maior
40,tristeza,pensamentos recorrentes de morte,choro,nao especificado,catatonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
