VARIACAO,HUMOR,COGNICAO,COMPORTAMENTO,PERCEPCAO,FISIOLOGICO,RISCO,DURACAO,RESULTADO
1,sofrimento prolongado,lembranca recorrente,evitativo,flashbacks,reatividade fisiologica,evento traumatico,< 1 mes,transtorno de estresse agudo
2,sofrimento intenso,pesadelos,irritadico,despersonalizacao,perturbacao do sono,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
3,emocoes positivas ausentes,amnesia dissociativa,agressivo,desrealizacao,resposta de sobressalto exagerada,neuroticismo,< 1 mes,transtorno de estresse agudo
4,surtos de raiva,hipervigilancia,impulsivo,flashbacks,ataques de panico,evento traumatico,< 1 mes,transtorno de estresse agudo
5,reatividade emocional,dificuldade de concentracao,imprudente,despersonalizacao,sintomas pos-concussivos,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
6,medo,revivencia,evitativo,desrealizacao,reatividade fisiologica,neuroticismo,< 1 mes,transtorno de estresse agudo
7,tristeza,lembranca recorrente,irritadico,flashbacks,perturbacao do sono,evento traumatico,< 1 mes,transtorno de estresse agudo
8,raiva,pesadelos,agressivo,despersonalizacao,resposta de sobressalto exagerada,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
9,culpa,amnesia dissociativa,impulsivo,desrealizacao,ataques de panico,neuroticismo,< 1 mes,transtorno de estresse agudo
10,vergonha,hipervigilancia,imprudente,flashbacks,sintomas pos-concussivos,evento traumatico,< 1 mes,transtorno de estresse agudo
11,sofrimento prolongado,dificuldade de concentracao,evitativo,despersonalizacao,reatividade fisiologica,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
12,sofrimento intenso,revivencia,irritadico,desrealizacao,perturbacao do sono,neuroticismo,< 1 mes,transtorno de estresse agudo
13,emocoes positivas ausentes,lembranca recorrente,agressivo,flashbacks,resposta de sobressalto exagerada,evento traumatico,< 1 mes,transtorno de estresse agudo
14,surtos de raiva,pesadelos,impulsivo,despersonalizacao,ataques de panico,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
15,reatividade emocional,amnesia dissociativa,imprudente,desrealizacao,sintomas pos-concussivos,neuroticismo,< 1 mes,transtorno de estresse agudo
16,medo,hipervigilancia,evitativo,flashbacks,reatividade fisiologica,evento traumatico,< 1 mes,transtorno de estresse agudo
17,tristeza,dificuldade de concentracao,irritadico,despersonalizacao,perturbacao do sono,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
18,raiva,revivencia,agressivo,desrealizacao,resposta de sobressalto exagerada,neuroticismo,< 1 mes,transtorno de estresse agudo
19,culpa,lembranca recorrente,impulsivo,flashbacks,ataques de panico,evento traumatico,< 1 mes,transtorno de estresse agudo
20,vergonha,pesadelos,imprudente,despersonalizacao,sintomas pos-concussivos,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
21,sofrimento prolongado,amnesia dissociativa,evitativo,desrealizacao,reatividade fisiologica,neuroticismo,< 1 mes,transtorno de estresse agudo
22,sofrimento intenso,hipervigilancia,irritadico,flashbacks,perturbacao do sono,evento traumatico,< 1 mes,transtorno de estresse agudo
23,emocoes positivas ausentes,dificuldade de concentracao,agressivo,despersonalizacao,resposta de sobressalto exagerada,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
24,surtos de raiva,revivencia,impulsivo,desrealizacao,ataques de panico,neuroticismo,< 1 mes,transtorno de estresse agudo
25,reatividade emocional,lembranca recorrente,imprudente,flashbacks,sintomas pos-concussivos,evento traumatico,< 1 mes,transtorno de estresse agudo
26,medo,pesadelos,evitativo,despersonalizacao,reatividade fisiologica,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
27,tristeza,amnesia dissociativa,irritadico,desrealizacao,perturbacao do sono,neuroticismo,< 1 mes,transtorno de estresse agudo
28,raiva,hipervigilancia,agressivo,flashbacks,resposta de sobressalto exagerada,evento traumatico,< 1 mes,transtorno de estresse agudo
29,culpa,dificuldade de concentracao,impulsivo,despersonalizacao,ataques de panico,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
30,vergonha,revivencia,imprudente,desrealizacao,sintomas pos-concussivos,neuroticismo,< 1 mes,transtorno de estresse agudo
31,sofrimento prolongado,lembranca recorrente,evitativo,flashbacks,reatividade fisiologica,evento traumatico,< 1 mes,transtorno de estresse agudo
32,sofrimento intenso,pesadelos,irritadico,despersonalizacao,perturbacao do sono,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
33,emocoes positivas ausentes,amnesia dissociativa,agressivo,desrealizacao,resposta de sobressalto exagerada,neuroticismo,< 1 mes,transtorno de estresse agudo
34,surtos de raiva,hipervigilancia,impulsivo,flashbacks,ataques de panico,evento traumatico,< 1 mes,transtorno de estresse agudo
35,reatividade emocional,dificuldade de concentracao,imprudente,despersonalizacao,sintomas pos-concussivos,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
36,medo,revivencia,evitativo,desrealizacao,reatividade fisiologica,neuroticismo,< 1 mes,transtorno de estresse agudo
37,tristeza,lembranca recorrente,irritadico,flashbacks,perturbacao do sono,evento traumatico,< 1 mes,transtorno de estresse agudo
38,raiva,pesadelos,agressivo,despersonalizacao,resposta de sobressalto exagerada,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
39,culpa,amnesia dissociativa,impulsivo,desrealizacao,ataques de panico,neuroticismo,< 1 mes,transtorno de estresse agudo
40,vergonha,hipervigilancia,imprudente,flashbacks,sintomas pos-concussivos,evento traumatico,< 1 mes,transtorno de estresse agudo
41,sofrimento prolongado,dificuldade de concentracao,evitativo,despersonalizacao,reatividade fisiologica,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
42,sofrimento intenso,revivencia,irritadico,desrealizacao,perturbacao do sono,neuroticismo,< 1 mes,transtorno de estresse agudo
43,emocoes positivas ausentes,lembranca recorrente,agressivo,flashbacks,resposta de sobressalto exagerada,evento traumatico,< 1 mes,transtorno de estresse agudo
44,surtos de raiva,pesadelos,impulsivo,despersonalizacao,ataques de panico,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
45,reatividade emocional,amnesia dissociativa,imprudente,desrealizacao,sintomas pos-concussivos,neuroticismo,< 1 mes,transtorno de estresse agudo
46,medo,hipervigilancia,evitativo,flashbacks,reatividade fisiologica,evento traumatico,< 1 mes,transtorno de estresse agudo
47,tristeza,dificuldade de concentracao,irritadico,despersonalizacao,perturbacao do sono,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
48,raiva,revivencia,agressivo,desrealizacao,resposta de sobressalto exagerada,neuroticismo,< 1 mes,transtorno de estresse agudo
49,culpa,lembranca recorrente,impulsivo,flashbacks,ataques de panico,evento traumatico,< 1 mes,transtorno de estresse agudo
50,vergonha,pesadelos,imprudente,despersonalizacao,sintomas pos-concussivos,transtorno mental anterior,< 1 mes,transtorno de estresse agudo
